Descricao,Quantidade,TotalVenda
ELASTICO 200,2.0,26.0
ELASTICO MERCUR 100UND S,17.0,132.2
ELASTICO MERCUR 120UND S,1.0,10.7
ELASTICO MERCUR 60UND ST,30.0,194.2
ENVELO BRANCO 26X36,8.0,9.6
ENVELOPE 16X22 SOF 323,21.0,10.5
ENVELOPE 31X41,6.0,9.6
ENVELOPE 37X47,10.0,18.0
ENVELOPE 75G BRANCO 162X,100.0,60.0
ENVELOPE BRANCO 22X32,172.0,147.2
ENVELOPE CARTA,79.0,23.7
TOTALIZACAO,6498.0,27530.0
ENVELOPE CARTA 11X16 SRP,297.0,59.5
ENVELOPE CARTA 14X16 SCR,56.0,42.0
ENVELOPE CARTA 7X10CM SC,15.0,6.0
ENVELOPE GRANDE 162X229,49.0,49.0
ENVELOPE KRAFT OURO 11X1,14.0,4.2
ENVELOPE OFICIO 11X22 SR,36.0,10.8
ENVELOPE SACO KRAFT 162X,23.0,11.5
ENVELOPE SACO KRAFT NAT,2.0,1.2
ENVELOPE SACO OURO 22X32,362.0,289.6
ENVELOPE VISITA 72X108MM,69.0,27.6
ESCOLINHA 365 ATIVIDADES,2.0,33.0
ESPETO PARA PAPEL ACC,4.0,56.0
ESTILETE 18MM,18.0,68.4
ESTILETE CIS GRANDE,9.0,52.2
ESTOJO ESCOLAR CAMUFLADO,6.0,82.8
ESTOJO ESCOLAR TOKHOUSE,3.0,21.0
ESTOJO INFANTIL POLIESTE,5.0,102.0
ETIQUETA MANUAL OURO,13.0,21.5
ETIQUETA MANUAL PRATA,2.0,3.2
ETIQUETA MX21X12,34.0,95.2
ETIQUETA PIMACO 6181,2.0,3.4
ETIQUETA PIMACO A 4262 C,12.0,20.4
ETIQUETA RT-4 12X25 M,1.0,11.5
ETIQUETA RT-5 TARJADINHA,1.0,14.8
EVA  CORES 40X47,5.0,15.0
EVA 40X48GLITER CORES GL,31.0,186.0
EVA BRILHO LEO LEO 40X48,3.0,20.7
EVA CORES 40X48 PEQUENO,262.0,786.0
EVA GLITER CORES TOK KID,112.0,649.6
EXTRATOR DE GRAMPOS,1.0,3.5
FICHA DE PRESTACAO TAMOI,1.0,9.8
FITA  MASK CREPE  24X50,20.0,190.0
FITA 3M SILV TAPE,1.0,19.8
FITA BANANA DUPLA FACE E,5.0,57.5
FITA CORRETIVA JOCAR 10X,20.0,170.0
FITA CREPE 18X50,16.0,128.5
FITA CREPE 18X50 MASK,3.0,22.5
FITA CREPE 48X50 MASK AD,7.0,133.0
FITA CREPE 711 FACIL REM,3.0,27.0
FITA DUPLA FACE 16X30 FI,6.0,70.8
FITA DUPLA FACE 19X30 FI,5.0,61.8
FITA DUPLA FACE FITIPEL,1.0,9.0
FITA DUPLA FACE VERDE 19,50.0,340.0
FITA EMPAC QUALITAPE 48M,4.0,31.2
FITA EMPAC QUALITAPE 48X,12.0,80.4
FITA FIT PEL 48X40 CORES,14.0,135.8
FITA KRAFT FITPEL 38MMX1,4.0,32.0
FITA LACO MAGIC,115.0,117.0
FITA MULTIUSO FITE PEL 4,1.0,9.7
TOTALIZACAO,8237.0,31927.4
FITA SILVER TABE 48X10,2.0,67.5
FLOCLORE,1.0,13.0
FOLHA DE SCRAPBOOK CORES,4.0,15.2
GIZAO DE CERA KOALA,35.0,308.0
GPS GUIA DA PREV. SOCIAL,37.0,263.4
GPS SAO DOMINGOS,24.0,117.8
GRAMPO JOCAR COB 26X6 C,33.0,102.0
GRAMPO JOCAR GALV 26X6 C,20.0,60.0
GRAMPOS GALVANIZADOS BRW,10.0,100.0
GUARDACHUVA,37.0,925.0
ISOPOR 20MM,27.0,251.1
